ID,수영장명,주소,전화번호,일일권(현재),자유수영(현재),웹사이트,일일권(실제),자유수영(실제),비고
196,돈암교육문화관 수영장,서울특별시 성북구 동소문동6가 27-1 서울돈암초등학교 내 돈암문화스포츠센터,,10000,10000,,,,
197,아쿠아마린키즈스윔 돈암점,서울특별시 성북구 동선동4가 111-1,,10000,10000,,,,
198,Hotel 2.4,서울특별시 송파구 방이동 49-2,,20000,20000,,,,
199,원샷인커피,서울특별시 송파구 방이동 88 1층 일부,,10000,8000,,,,
200,더블유엘지 문정,서울특별시 송파구 문정동 1 문정래미안 상가 지하1층 WLG 문정어린이수영장,,10000,10000,,,,
201,로렌키즈아쿠아센터 잠실점,서울특별시 송파구 문정동 96-15 지하1층,,10000,10000,,,,
202,KUA잠실다이빙풀장,서울특별시 송파구 잠실동 10,,10000,10000,,,,
203,잠실 제1수영장,서울특별시 송파구 잠실동 10 서울종합운동장,,10000,10000,,,,
204,잠실종합운동장 제2수영장,서울특별시 송파구 잠실동 10,,10000,10000,,,,
205,미진스포츠타운수영장,서울특별시 양천구 신정동 88-5,,10000,10000,,,,
206,신기스포렉스 수영장,서울특별시 양천구 신정동 1274,,10000,10000,,,,
207,리조트휘트니스 수영장 현대백화점 목동점,서울특별시 양천구 목동 916 8층,,10000,10000,,,,
208,블루라군 오목교점,서울특별시 양천구 목동 405-25 청학빌딩 지하2층,,10000,10000,,,,
209,키즈엘리트,서울특별시 양천구 신정동 296-24 지하 1층,,10000,10000,,,,
210,목동스포츠센터,서울특별시 양천구 목동 904 스포츠센터,,12000,12000,,,,
211,블루라군 목동점,서울특별시 양천구 신정동 1182-11,,10000,10000,,,,
212,한강공원 여의도 수영장,서울특별시 영등포구 여의도동 82-3 한강공원 여의도 수영장,,10000,10000,,,,
213,SeaLaLa워터파크,서울특별시 영등포구 문래동3가 55-16 지하 2층,,10000,8000,,,,
214,물개키즈스윔,서울특별시 영등포구 신길동 4662 B1,,10000,10000,,,,
215,아이월드,"서울특별시 영등포구 문래동5가 2 대륭오피스텔 B202,203",,10000,10000,,,,
216,씨랄라,서울특별시 영등포구 문래동3가 55-16,,10000,10000,,,,
217,시립문래청소년센터수영장,서울특별시 영등포구 문래동3가 73,,2500,2500,,,,
218,와우어린이수영장,서울특별시 영등포구 여의도동 42,,2000,2000,,,,
219,서울드래곤시티 카바나시티,서울특별시 용산구 한강로3가 40-969 스카이킹덤 34F 카바나 시티,,10000,8000,,,,
220,그랜드하얏트서울 아이스링크,서울특별시 용산구 한남동 747-7,,10000,8000,,,,
221,몬드리안서울이태원 알티튜드 풀 앤 라운지,서울특별시 용산구 이태원동 22-76 5층 몬드리안서울이태원 알티튜드 풀 앤 라운지,,10000,8000,,,,
222,그랜드 하얏트 서울 야외수영장,서울특별시 용산구 한남동 747-7 그랜드 하얏트 서울,,10000,10000,,,,
223,블루라군 한남점,서울특별시 용산구 한남동 258 현대리버티 하우스 B2 블루라군,,10000,10000,,,,
224,용산구문화체육센터수영장,서울특별시 용산구 문배동 19-2,,10000,10000,,,,
225,해밀톤 야외수영장,서울특별시 용산구 이태원동 108-9 해밀톤호텔,,10000,10000,,,,
226,용산초등학교수영장,서울특별시 용산구 한강로2가 1 용산초등학교수영장,,10000,10000,,,,
227,웰페리온 SWIMMING,서울특별시 용산구 한남동 805 지하1층 웰페리온,,10000,10000,,,,
228,로얄마린 응암점,서울특별시 은평구 응암동 577-7 B01 B02호,,10000,10000,,,,
229,삼정스포츠 수영장,서울특별시 은평구 대조동 231 삼성타운아파트 지하2층,,10000,10000,,,,
230,서울스포츠클럽,서울특별시 종로구 연지동 136-74 서울보증보험빌딩 지하1층,,10000,8000,,,,
231,종로구민회관수영장,서울특별시 종로구 창신동 222-8,,3500,3500,,,,
232,올림픽기념국민생활관수영장,서울특별시 종로구 혜화동 1-21,,10000,10000,,,,
233,서울 YMCA 관광호텔수영장,서울특별시 종로구 종로2가 9,,20000,20000,,,,
234,청운초등학교실내수영장,서울특별시 종로구 청운동 123,,10000,8000,,,,
235,반얀트리 클럽 앤 스파 서울 오아시스 수영장,서울특별시 중구 장충동2가 201,,10000,10000,,,,
236,충무아트센터,서울특별시 중구 흥인동 131,,10000,8000,,,,
237,서울신라호텔 어번 아일랜드,서울특별시 중구 장충동2가 202 서울신라호텔 3층,,20000,20000,,,,
238,중구회현체육센터수영장,서울특별시 중구 회현동1가 115,,10000,10000,,,,
239,성동교육문화관,서울특별시 중구 신당동 161,,10000,10000,,,,
240,면일체육문화센터,서울특별시 중랑구 망우동 440 면일체육문화센터,,10000,10000,,,,
241,스포원 스포츠센터,서울특별시 중랑구 망우동 584 208동 지하1층,,12000,12000,,,,
242,중곡스포렉스,서울특별시 중랑구 면목동 380 중곡초등학교내 중곡스포렉스,,10000,10000,,,,
243,SNL어린이수영장,서울특별시 중랑구 면목동 121-10 B1F SNL어린이수영장,,2000,2000,,,,
244,아이누리수영장 중랑센터,서울특별시 중랑구 신내동 656 신내8단지두산.화성아파트,,10000,10000,,,,
245,중랑문화체육관수영장,서울특별시 중랑구 면목동 519 중랑문화체육관,,3500,3500,,,,
246,중랑구민체육센터수영장,서울특별시 중랑구 묵동 22-1,,3500,3500,,,,
247,강남 수영장,서울특별시 강남구 테헤란로 123,02-1234-5678,10000,8000,https://example.com,,,
